,directLowPrice,highprice,lowprice,marketPrice,midprice,mtg_subTypeName,productId
128,0.01,1.0,0.07,0.09,0.25,Foil,188167
129,0.04,1.99,0.03,0.06,0.13,Normal,188216
130,,20.0,0.1,0.22,0.39,Normal,188906
131,,2.99,0.1,0.19,0.28,Normal,187182
132,0.08,2.99,0.05,0.09,0.2,Normal,188397
133,,,,200.0,,Foil,189017
134,,13.99,2.5,3.26,3.58,Normal,188415
135,0.04,150.0,0.03,0.05,0.13,Normal,188873
136,0.06,2.99,0.5,0.9,1.05,Foil,187226
137,0.04,1.69,0.09,0.14,0.25,Foil,188394
138,0.04,1.69,0.08,0.1,0.25,Foil,188863
139,,,,11.06,,Normal,189016
140,,3.37,0.14,0.17,0.3,Normal,187224
141,,24.99,12.86,14.48,17.98,Foil,188506
142,0.04,2.05,0.12,0.22,0.33,Foil,187225
143,0.04,150.0,0.01,0.06,0.12,Normal,188315
144,,40.0,23.89,24.07,26.98,Foil,188701
145,,11.04,5.45,6.6,7.99,Foil,188629
146,0.04,1.99,0.04,0.04,0.12,Normal,188219
147,0.04,2.0,0.34,0.42,0.47,Foil,188305
148,0.04,150.0,0.01,0.08,0.12,Normal,188605
149,0.07,2.98,0.13,1.36,1.73,Foil,188603
150,0.03,1.0,0.09,0.18,0.25,Foil,188215
151,0.05,1.69,0.15,0.22,0.33,Foil,188218
152,,3.37,0.15,0.25,0.48,Normal,188388
153,0.04,0.59,0.2,0.3,0.3,Foil,187142
154,,,,40.0,,Foil,189015
155,0.08,6.0,0.99,1.2,1.89,Foil,187143
156,0.05,1.99,0.02,0.05,0.14,Normal,188872
157,0.02,1.69,0.09,0.11,0.25,Foil,188318
158,0.04,0.99,0.12,0.25,0.34,Foil,187116
159,,,,,,Foil,189014
160,,4.99,0.1,0.23,0.39,Normal,187114
161,0.04,1.69,0.15,0.3,0.35,Foil,188116
162,0.02,150.0,0.01,0.11,0.15,Normal,188707
163,,,,,,Foil,189013
164,,11.37,1.19,1.52,2.0,Normal,188706
165,0.04,1.39,0.09,0.17,0.4,Foil,187199
166,0.01,1.0,0.09,0.1,0.25,Foil,188395
167,,4.99,0.35,0.47,0.95,Normal,187228
168,0.02,1.09,0.08,0.08,0.25,Foil,187253
169,,3.25,0.89,1.04,1.42,Foil,188223
170,,7.99,3.25,4.36,5.49,Foil,188119
171,0.04,150.0,0.01,0.05,0.12,Normal,188357
172,,,,,,Foil,189011
173,0.08,3.37,0.07,0.11,0.25,Normal,188356
174,0.04,0.88,0.1,0.16,0.25,Foil,187252
175,,19.99,7.9,8.8,10.99,Normal,188414
176,0.04,1.99,0.01,0.07,0.14,Normal,187203
177,0.04,2.0,0.49,0.65,0.89,Foil,188301
178,0.04,150.0,0.02,0.06,0.14,Normal,187232
179,0.02,0.54,0.09,0.12,0.25,Foil,188298
180,0.02,150.0,0.01,0.06,0.12,Normal,188299
181,5.6,14.99,4.97,6.21,7.53,Normal,188509
182,0.04,1.69,0.35,0.46,0.49,Foil,188489
183,,21.98,7.75,8.64,10.56,Foil,187242
